,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Short Swap AUDNZD
2005-09-03,5.41,6.74,6.84,-6.196914543248395e-06,5.2483358934971896e-06
2005-09-04,5.41,6.74,6.84,-6.196914543248395e-06,5.2483358934971896e-06
2005-09-05,5.37,6.68,6.83,-6.36664922379208e-06,5.093305940763565e-06
2005-09-06,5.35,6.67,6.82,-6.430446194225726e-06,4.999999999999998e-06
2005-09-07,5.34,6.69,6.84,-6.5720294426919054e-06,5.1361068310220836e-06
2005-09-08,5.15,6.52,6.82,-7.542908762420956e-06,4.861111111111106e-06
2005-09-09,5.2,6.57,6.82,-7.258064516129031e-06,4.823428079242032e-06
2005-09-10,5.41,6.71,6.86,-6.283584676720405e-06,5.120327700972865e-06
2005-09-11,5.41,6.71,6.86,-6.283584676720405e-06,5.120327700972865e-06
2005-09-12,5.23,6.69,6.84,-7.178526841448188e-06,5.186899862825791e-06
2005-09-13,5.24,6.47,6.77,-6.81089743589743e-06,4.194487245334703e-06
2005-09-14,5.28,6.75,6.95,-7.386765746638355e-06,5.189722647609326e-06
2005-09-15,5.4,6.6,6.9,-6.510416666666666e-06,4.4529262086513975e-06
2005-09-16,5.42,6.73,6.88,-6.317064728279679e-06,5.054366292898404e-06
2005-09-17,5.45,6.84,6.94,-6.416881998277347e-06,5.470737913486006e-06
2005-09-18,5.42,6.81,6.96,-6.6632052613361e-06,5.2426856079824115e-06
2005-09-19,5.26,6.65,6.9,-7.277245296414627e-06,4.864311315924223e-06
2005-09-20,5.24,6.64,6.94,-7.567663817663815e-06,4.922102379729497e-06
2005-09-21,5.24,6.69,6.94,-7.567663817663815e-06,5.1361068310220836e-06
2005-09-22,5.24,6.82,6.97,-7.701210826210823e-06,5.692518404382809e-06
2005-09-23,5.24,6.85,7.0,-7.834757834757831e-06,5.820921075158359e-06
2005-09-24,5.43,6.78,6.93,-6.480041472265422e-06,5.317338778288241e-06
2005-09-25,5.39,6.82,6.97,-6.868370718135977e-06,5.436629289840301e-06
2005-09-26,5.26,6.68,6.98,-7.632232871849487e-06,4.992319508448541e-06
2005-09-27,5.25,6.73,6.98,-7.688888888888893e-06,5.256410256410259e-06
2005-09-28,5.23,6.66,6.96,-7.713572320313888e-06,5.058299039780519e-06
2005-09-29,5.23,6.67,6.97,-7.7581594435527e-06,5.101165980795605e-06
2005-09-30,5.42,6.88,7.0,-6.83627552786431e-06,5.6914712878015636e-06
2005-10-01,5.43,6.89,7.04,-6.9552445135648845e-06,5.785264590777606e-06
2005-10-02,5.43,6.89,7.04,-6.9552445135648845e-06,5.785264590777606e-06
2005-10-03,5.4,6.9,7.02,-7.0312499999999956e-06,5.879345603271986e-06
2005-10-04,5.39,6.91,7.03,-7.129194922622157e-06,5.973715651135007e-06
2005-10-05,5.39,6.81,6.96,-6.824900017388281e-06,5.547021676053932e-06
